sector,monto_financiado,num_rondas,tamano_equipo,exp_fundadores,presencia_redes,ubicacion,inversores_destacados,descripcion,tiempo_fundacion,estado_operativo,viabilidad
EdTech,204300.0,5.0,27.0,6.2,80.2,Santiago,Sí,apoyo de inversores reconocidos. buena presencia en redes. equipo con 6+ años de experiencia. crecimiento mensual 13% y churn bajo. enfocado en EdTech con enfoque B2C,2018.0,prototipo,1
Fintech,413100.0,5.0,21.0,8.9,42.6,,,apoyo de inversores reconocidos. equipo con 8+ años de experiencia. expansión a CDMX en próximos meses,2005.0,PROTOTIPO ,1
saas ,116100.0,2.0,23.0,5.2,87.4,Piura,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 5+ años de experiencia. operando en el mercado. enfocado en SaaS con enfoque SaaS,2020.0,activo,1
Gaming,143100.0,0.0,4.0,4.9,69.1,Trujillo,1.0,apoyo de inversores reconocidos. buena presencia en redes. operando en el mercado. expansión a Quito en próximos meses. dependencia alta de marketing pago,2019.0,activo,1
Fintech,594500.0,5.0,31.0,4.0,18.5,Piura,No,financiamiento semilla cerrado. enfocado en Fintech con enfoque marketplace,2016.0,prototipo,0
E-commerce,380100.0,4.0,26.0,7.5,43.8,Trujillo,1.0,apoyo de inversores reconocidos. equipo con 7+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Trujillo. enfocado en E-commerce con enfoque API-first,2012.0,activo,1
Logistics,321800.0,0.0,42.0,1.6,20.9,Quito,0.0,operando en el mercado. MRR de $3460 con 79 clentes activos,2011.0, ACTIVO,1
AgroTech,83300.0,3.0,13.0,7.0,25.1,Lima,No,equipo con 7+ años de experiencia. operando en el mercado. expansión a Bogotá en próximos meses,2023.0,activo,1
HealthTech,854000.0,1.0,40.0,4.6,-5.0,Bogotá,Sí,apoyo de inversores reconocidos. financiamiento semilla cerrado. tracción probada: piloto pagado en Bogotá. expansión a CDMX en próximos meses,2013.0,cerrado,1
 Gaming ,162900.0,1.0,,4.0,40.7,Bogotá,0.0,tracción probada: piloto pagado en Bogotá. MVP listo y primeros beta testers,2008-aprox,prototipo,0
Travel,247700.0,3.0,29.0,2.7,41.2, trujillo,0.0,enfocado en Travel con enfoque SaaS,2007.0, prototipo ,0
EdTech,309300.0,2.0,41.0,8.1,96.3,Buenos Aires,Sí,apoyo de inversores reconocidos. buena presencia en redes. equipo con 8+ años de experiencia. expansión a Piura en próximos meses,2008.0,prototipo,1
 Fintech,559900.0,5.0,47.0,5.0,73.3,Piura,0.0,financiamiento semilla cerrado. buena presencia en redes. equipo con 5+ años de experiencia. acuerdos B2B con 9 empresas y pipeline sólido. MVP listo y primeros beta testers,2022.0,en pausa,1
Ai/Ml ,190600.0,3.0,49.0,5.6,67.3, LIMA,0.0,buena presencia en redes. equipo con 5+ años de experiencia. crecimiento mensual 21% y churn bajo. MVP listo y primeros beta testers,2024.0,en pausa,1
E-commerce,207600.0,0.0,22.0,2.2,58.6,Quito,1.0,apoyo de inversores reconocidos. operando en el mercado. enfocado en E-commerce con enfoque B2C,2016/2017,activo,0
Healthtech ,489000.0,0.0,24.0,2.8,54.0,Bogotá,1.0,apoyo de inversores reconocidos. cofundadores con 2+ años de experiencia en HealthTech. enfocado en HealthTech con enfoque SaaS,2005.0,prototipo,0
EdTech,270100.0,1.0,12.0,0.6,24.4,Lima,0.0,operando en el mercado. MRR de $6161 con 107 clientes activos. MVP listo y primeros beta testers. sin modelo de ingresos definido,2021/2022,activo,1
AI/ML,678800.0,3.0,49.0,3.7,108.6,Buenos Aires,0.0,financiamiento semilla cerrado. buena presencia en redes. cofundadores con 3+ años de experiencia en AI/ML,2014.0,prototipo,1
Logistics,309800.0,1.0,1.0,3.4,67.9,Lima,0.0,buena presencia en redes. operando en el mercado. equipo parcial y tiempo limitado,2017.0, activo,1
HealthTech,,5.0,49.0,5.6,-3.0,Piura,1.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. crecimiento mensual 21% y churn bajo. expansión a Santiago en próximos meses. aún sin usuarios activos,2024.0,en pausa,1
AgroTech,407700.0,5.0,42.0,0.0,55.0,Cusco,0.0,operando en el mercado. cofundadores con 1+ años de experiencia en AgroTech. aún sin usuarios activos,2016/2017,activo,1
 Ai/Ml ,342100.0,5.0,2.0,5.6,54.7, Lima,1.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. operando en el mercado. enfocado en AI/ML con enfoque SaaS. equipo parcial y tiempo limitado,2005.0,activo,0
Gaming,761900.0,1.0,19.0,6.5,54.5,Buenos Aires,0.0,financiamiento semilla cerrado. equipo con 6+ años de experiencia. operando en el mercado,2022.0,activo,1
EdTech,162000.0,1.0,39.0,5.4,25.7, BUENOS AIRES ,0.0,equipo con 5+ años de experiencia. expansión a Trujillo en próximos meses. sin modelo de ingresos definido,2025.0,en pausa,0
Logistics,336800.0,0.0,33.0,7.1,23.4,Quito,0.0,equipo con 7+ años de experiencia. expansión a Piura en próximos meses. equipo parcial y tiempo limitado,2017.0,prototipo,1
SaaS,27200.0,5.0,23.0,2.9,10.3,Quito,0.0,operando en el mercado. acuerdos B2B con 18 empresas y pipeline sólido. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2009.0,activo,1
SaaS,234100.0,0.0,40.0,3.0,62.3, quito,0.0,buena presencia en redes. operando en el mercado,2016.0,activo,1
Travel,,1.0,41.0,4.5,44.3,Bogotá,0.0,expansión a Santiago en próximos meses. dependencia alta de marketing pago,2025.0,prototipo,1
 AgroTech,52800.0,2.0,33.0,5.8,30.5,Bogotá,1.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. operando en el mercado. dependencia alta de marketing pago,2005.0, Activo ,0
EdTech,307600.0,4.0,1.0,2.7,43.8,Lima,0.0,operando en el mercado. tracción probada: piloto pagado en Lima,2025.0,Activo ,0
E-commerce,595300.0,0.0,11.0,8.7,26.2,Piura,0.0,financiamiento semilla cerrado. equipo con 8+ años de experiencia. operando en el mercado. acuerdos B2B con 14 empresas y pipeline sólido. expansión a Bogotá en próximos meses. dependencia alta de marketing pago,2024.0,activo,1
E-commerce,216000.0,4.0,35.0,2.7,5.2,Arequipa,0.0,operando en el mercado. cofundadores con 2+ años de experiencia en E-commerce. aún sin usuarios activos,2008.0,activo,0
Fintech,29700.0,2.0,16.0,6.8,76.0,Bogotá,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. crecimiento mensual 16% y churn bajo. expansión a Piura en próximos meses. equipo parcial y tiempo limitado,2025-aprox,activo,1
 Gaming ,138000.0,2.0,17.0,0.0,,Arequipa ,0.0,operando en el mercado. tracción probada: piloto pagado en Arequipa. expansión a CDMX en próximos meses,2010.0,activo,0
AI/ML,417700.0,0.0,16.0,6.2,62.7,Santiago,0.0,buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. cofundadores con 6+ años de experiencia en AI/ML. dependencia alta de marketing pago,2015.0,activo,1
SaaS,320500.0,0.0,15.0,3.6,29.0, Quito,0.0,,2023.0,prototipo,1
Logistics,167900.0,3.0,21.0,1.9,63.8,Arequipa,0.0,buena presencia en redes. operando en el mercado. MRR de $1155 con 48 clientes activos,2010/2011,activo,0
Gaming,595200.0,3.0,47.0,6.3,62.1,Santiago,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. equipo con 6+ años de experiencia. MRR de $1599 con 63 clientes activos,2013.0,prototipo ,1
HealthTech,412500.0,3.0,47.0,6.3,18.7,Quito,0.0,equipo con 6+ años de experiencia. equipo parcial y tiempo limitado,2007.0, prototipo ,1
HealthTech,95300.0,2.0,31.0,2.4,60.5,Arequipa,1.0,apoyo de inversores reconocidos. buena presencia en redes. operando en el mercado. crecimiento mensual 7% y churn bajo. expansión a Bogotá en próximos meses,2019.0, Activo ,1
 SaaS ,233400.0,3.0,,5.6,34.1,Trujillo,1.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. operando en el mercado,2007.0,Activo ,1
HealthTech,270700.0,5.0,23.0,5.2,60.7,Arequipa,0.0,buena presencia en redes. equipo con 5+ años de experiencia. operando en el mercado. MRR de $2836 con 192 clentes activos. MVP listo y primeros beta testers,2012.0,Activo ,1
Gaming,811800.0,1.0,34.0,2.1,112.0,trujillo,0.0,financiamiento semilla cerrado. MVP listo y primeros beta testers,2005.0,en pausa,1
EdTech,50600.0,4.0,14.0,5.1,57.2, AREQUIPA,0.0,equipo con 5+ años de experiencia. operando en el mercado. enfocado en EdTech con enfoque B2B,2019.0,,0
EdTech,147200.0,4.0,11.0,4.4,47.8,Cdmx ,0.0,operando en el mercado. enfocado en EdTech con enfoque SaaS. dependencia alta de marketing pago,,activo,1
Travel,USD 299.900,3.0,34.0,5.3,27.6,Lima,0.0,equipo con 5+ años de experiencia. operando en el mercado. enfocado en Travel con enfoque SaaS,2018.0, activo,1
Fintech,150500.0,0.0,8.0,3.0,55.9,Lima,1.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 10 empresas y pipeline sólido. enfocado en Fintech con enfoque marketplace. aún sin usuarios activos,2007-aprox,activo,0
Travel,1917600.0,5.0,35.0,6.4,44.8,Cusco,0.0,financiamiento semilla cerrado. equipo con 6+ años de experiencia. operando en el mercado. MRR de $1674 con 158 clientes activos,, activo,0
Fintech,194400.0,1.0,49.0,2.6,96.4,Piura,0.0,buena presencia en redes. operando en el mercado. tracción probada: piloto pagado en Piura. expansión a Cusco en próximos meses. dependencia alta de marketing pago,2022.0,activo,1
AI/ML,1343200.0,2.0,25.0,5.4,86.1,quito,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. equipo con 5+ años de experiencia. crecimiento mensual 22% y churn bajo. expansión a Buenos Aires en próximos meses. aún sin usuarios activos,2020.0,prototipo,1
AI/ML,,5.0,13.0,3.1,42.2,Piura ,1.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 17 empresas y pipeline sólido. enfocado en AI/ML con enfoque marketplace,2023.0,activo,0
Fintech,396100.0,3.0,31.0,8.2,45.9,Trujillo,No,equipo con 8+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2006.0,activo,1
AI/ML,293900.0,1.0,7.0,3.9,45.6,Arequipa,0.0,operando en el mercado,2024.0,activo,0
E-commerce,418900.0,1.0,29.0,4.2,79.8,Trujillo,0.0,buena presencia en redes. MRR de $4337 con 24 clientes activos. expansión a Cusco en próximos meses,2019.0, cerrado ,1
Logistics,USD 319.000,3.0,37.0,8.4,39.9,Santiago,0.0,equipo con 8+ años de experiencia. operando en el mercado. acuerdos B2B con 19 empresas y pipeline sólido. expansión a Piura en próximos meses,2019.0,activo,1
E-commerce,753100.0,2.0,13.0,4.5,8.1,Piura,0.0,financiamiento semilla cerrado. operando en el mercado. enfocado en E-commerce con enfoque B2C. sin modelo de ingresos definido,2010.0,activo,0
EdTech,USD 510.900,3.0,35.0,2.5,-2.1,Quito,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. operando en el mercado. tracción probada: piloto pagado en Quito,2007.0,activo,0
EdTech,173900.0,2.0,45.0,4.3,56.7,Buenos Aires,1.0,apoyo de inversores reconocidos. operando en el mercado. MRR de $24657 con 115 clientes activos. MVP listo y primeros beta testers,2016.0,activo,1
AgroTech,182000.0,0.0,10.0,6.7,41.0,PIURA ,1.0,apoyo de inversores reconocidos. equipo con 6+ años de experiencia. operando en el mercado. MRR de $7849 con 159 clientes activos. expansión a Cusco en próximos meses,2006-aprox, activo,1
Gaming,650100.0,4.0,48.0,4.1,-8.5,Piura,0.0,financiamiento semilla cerrado. acuerdos B2B con 3 empresas y pipeline sólido. MVP listo y primeros beta testers,2009.0,prototipo,1
Saas,257500.0,1.0,26.0,3.2,42.3,Bogotá,0.0,tracción probada: piloto pagado en Bogotá. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2005.0,en pausa,1
E-commerce,192000.0,2.0,23.0,7.6,45.7,CDMX,0.0,equipo con 7+ años de experiencia. acuerdos B2B con 19 empresas y pipeline sólido. MVP listo y primeros beta testers,2015.0,prototipo,0
logistics,235400.0,3.0,36.0,5.1,51.5, arequipa ,0.0,equipo con 5+ años de experiencia. operando en el mercado. acuerdos B2B con 14 empresas y pipeline sólido. MVP listo y primeros beta testers,2022.0, Activo,1
SaaS,70900.0,3.0,13.0,8.8,25.8,Quito,0.0,equipo con 8+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Quito. expansión a Bogotá en próximos meses,2009.0, Activo,0
Travel,285800.0,4.0,27.0,3.5,67.2,Buenos Aires ,0.0,buena presencia en redes. operando en el mercado. MVP listo y primeros beta testers,2011.0,activo,1
HealthTech,1362900.0,3.0,45.0,7.5,61.9,Cusco,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. equipo con 7+ años de experiencia. operando en el mercado. acuerdos B2B con 17 empresas y pipeline sólido,2019.0, activo ,1
Travel,191400.0,0.0,4.0,6.4,58.8, Cusco ,No,equipo con 6+ años de experiencia. expansión a Quito en próximos meses,2010.0,prototipo,0
EdTech,538100.0,5.0,9.0,6.1,69.3, Lima,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. equipo con 6+ años de experiencia. MRR de $10359 con 79 clientes activos,2025.0, Prototipo ,1
 Fintech ,489900.0,1.0,23.0,1.0,, cdmx,0.0,buena presencia en redes. operando en el mercado,2011.0,activo,0
Travel,USD 277.300,0.0,25.0,4.7,79.3, Cusco,0.0,buena presencia en redes. operando en el mercado,2015.0,activo,0
HealthTech ,233300.0,,30.0,7.3,14.2,trujillo ,0.0,equipo con 7+ años de experiencia. operando en el mercado. cofundadores con 7+ años de experiencia en HealthTech,2012.0,activo,1
 agrotech,209900.0,3.0,40.0,2.2,30.9,Santiago,0.0,crecimiento mensual 8% y churn bajo. MVP listo y primeros beta testers,2020.0,en pausa,0
AI/ML,232800.0,5.0,14.0,4.3,,Trujillo,No,operando en el mercado. cofundadores con 4+ años de experiencia en AI/ML,2013.0,activo,1
Logistics,418300.0,3.0,,4.1,78.5,Piura,0.0,buena presencia en redes. operando en el mercado,2023.0,activo,1
HealthTech,218400.0,4.0,31.0,6.1,51.3,Santiago,0.0,equipo con 6+ años de experiencia. crecimiento mensual 17% y churn bajo. MVP listo y primeros beta testers,2005.0,en pausa,0
Gaming,1205900.0,4.0,49.0,3.4,66.5,Santiago ,Sí,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. crecimiento mensual 28% y churn bajo. enfocado en Gaming con enfoque marketplace,2023.0,prototipo,0
SaaS,523500.0,3.0,21.0,8.1,34.4,Santiago,0.0,financiamiento semilla cerrado. equipo con 8+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2020.0, activo,1
Fintech,110500.0,3.0,47.0,4.6,67.0,Lima,0.0,buena presencia en redes. operando en el mercado. acuerdos B2B con 9 empresas y pipeline sólido,2022-aprox, activo ,1
AI/ML,722500.0,3.0,,3.0,21.9, piura ,0.0,financiamiento semilla cerrado. operando en el mercado. cofundadores con 3+ años de experiencia en AI/ML. aún sin usuarios activos,2019.0,activo,0
fintech,728800.0,0.0,10.0,7.0,33.9, Quito ,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 6+ años de experiencia. operando en el mercado. cofundadores con 6+ años de experiencia en Fintech. expansión a Trujillo en próximos meses,2024.0,activo,1
Logistics,98900.0,0.0,10.0,5.3,21.6,Piura,0.0,equipo con 5+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Piura. expansión a Santiago en próximos meses,2025.0,activo,1
EdTech,60800.0,3.0,44.0,5.0,63.7,Quito,0.0,buena presencia en redes. equipo con 5+ años de experiencia. operando en el mercado. expansión a Arequipa en próximos meses. sin modelo de ingresos definido,2012.0,activo,1
HealthTech,127700.0,1.0,,4.9,28.1,Quito,1.0,apoyo de inversores reconocidos. operando en el mercado. MRR de $5940 con 44 clientes activos. expansión a Trujillo en próximos meses,2016.0,activo,1
Saas ,295200.0,0.0,10.0,4.3,8.8,Lima,0.0,operando en el mercado. MVP listo y primeros beta testers,2005.0,activo,0
AI/ML,139400.0,0.0,15.0,6.8,35.1,Quito ,0.0,equipo con 6+ años de experiencia. operando en el mercado. enfocado en AI/ML con enfoque SaaS,2023.0, activo ,0
Travel,824700.0,1.0,5.0,5.6,32.0,cdmx ,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 5+ años de experiencia. operando en el mercado. MRR de $7804 con 50 clientes activos. enfocado en Travel con enfoque SaaS,2006-aprox, ACTIVO ,1
Travel,349600.0,2.0,40.0,6.4,67.7, CDMX ,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. cofundadores con 6+ años de experiencia en Travel. equipo parcial y tiempo limitado,2009.0,activo,1
AgroTech,USD 326.400,5.0,20.0,3.9,53.0,Santiago,0.0,operando en el mercado. cofundadores con 3+ años de experiencia en AgroTech. MVP listo y primeros beta testers. sin modelo de ingresos definido,2018.0,activo,1
AI/ML,138000.0,0.0,26.0,1.3,60.6,Arequipa ,0.0,buena presencia en redes. enfocado en AI/ML con enfoque marketplace. equipo parcial y tiempo limitado,2015.0,prototipo,0
SaaS ,288400.0,3.0,35.0,,49.6,CDMX,0.0,operando en el mercado. tracción probada: piloto pagado en CDMX. MVP listo y primeros beta testers,2016.0,activo,0
Logistics,2549900.0,4.0,43.0,1.6,45.5,Cusco,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. operando en el mercado. crecimiento mensual 6% y churn bajo. expansión a Santiago en próximos meses,2018.0,activo ,1
Fintech,USD 249.700,0.0,21.0,5.8,,Buenos Aires,,equipo con 5+ años de experiencia. operando en el mercado. crecimiento mensual 5% y churn bajo. MVP listo y primeros beta testers,2011/2012,ACTIVO ,1
SaaS,135600.0,4.0,7.0,5.1,65.7, santiago,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 5+ años de experiencia,2005.0,en pausa,1
Edtech,113200.0,3.0,,6.2,43.8,Trujillo,0.0,equipo con 6+ años de experiencia. operando en el mercado. enfocado en EdTech con enfoque B2C,2021.0,activo ,1
SaaS,156100.0,1.0,39.0,,44.3,Bogotá,1.0,apoyo de inversores reconocidos. operando en el mercado. expansión a Bogotá en próximos meses,2012.0, activo,1
Travel,153500.0,5.0,42.0,5.5,3.3,Bogotá,0.0,equipo con 5+ años de experiencia. operando en el mercado. MRR de $4066 con 40 clientes activos. expansión a Cusco en próximos meses. equipo parcial y tiempo limitado,2024-aprox,,0
HEALTHTECH ,369600.0,4.0,34.0,3.1,25.1,Lima,1.0,apoyo de inversores reconocidos. operando en el mercado. enfocado en HealthTech con enfoque B2C. dependencia alta de marketing pago,2013.0, activo,1
SaaS,154500.0,2.0,2.0,3.7,49.9,Cusco,1.0,apoyo de inversores reconocidos. operando en el mercado. crecimiento mensual 22% y churn bajo. enfocado en SaaS con enfoque SaaS,2012.0,activo,0
 Logistics ,185300.0,3.0,17.0,8.7,59.1, bogotá ,0.0,equipo con 8+ años de experiencia. operando en el mercado. MRR de $1552 con 148 clentes activos. enfocado en Logistics con enfoque marketplace,,activo,1
E-commerce,333800.0,5.0,20.0,5.4,16.6,CDMX,0.0,equipo con 5+ años de experiencia. operando en el mercado. enfocado en E-commerce con enfoque app móvil,2005.0,activo,1
 Ai/Ml,376000.0,0.0,17.0,4.7,85.4,Buenos Aires,0.0,buena presencia en redes. tracción probada: piloto pagado en Buenos Aires. enfocado en AI/ML con enfoque app móvil. equipo parcial y tiempo limitado,2019.0, EN PAUSA ,1
SaaS,USD 299.700,0.0,21.0,2.5,74.7,Arequipa,Sí,apoyo de inversores reconocidos. buena presencia en redes. operando en el mercado. tracción probada: piloto pagado en Arequipa. enfocado en SaaS con enfoque B2C,2013-aprox,activo,1
AgroTech,136600.0,0.0,7.0,6.7,45.5, santiago ,0.0,equipo con 6+ años de experiencia. acuerdos B2B con 11 empresas y pipeline sólido. expansión a Cusco en próximos meses,2008.0,en pausa ,0
AI/ML,199000.0,,37.0,2.2,57.3,Trujillo,0.0,operando en el mercado. expansión a Piura en próximos meses,2018/2019,activo,1
Gaming,440800.0,5.0,33.0,5.8,107.0,Trujillo,,apoyo de inversores reconocidos. buena presencia en redes. equipo con 5+ años de experiencia. operando en el mercado. cofundadores con 5+ años de experiencia en Gaming. MVP listo y primeros beta testers,2005/2006,activo,1
 Healthtech ,472200.0,1.0,26.0,3.2,27.1,lima,0.0,operando en el mercado. enfocado en HealthTech con enfoque B2C,2006-aprox, Activo ,1
E-commerce,278500.0,5.0,28.0,1.8,43.1,CDMX,0.0,operando en el mercado. expansión a Cusco en próximos meses,2008.0,activo ,0
edtech,USD 346.100,0.0,4.0,0.5,-7.0,Bogotá,0.0,cofundadores con 1+ años de experiencia en EdTech. enfocado en EdTech con enfoque app móvil. aún sin usuarios activos,2010.0,prototipo,1
SaaS,327500.0,4.0,42.0,5.4,25.3,Trujillo,0.0,equipo con 5+ años de experiencia. MRR de $4230 con 140 clientes activos. expansión a Santiago en próximos meses,2019.0,prototipo,0
Logistics,315200.0,4.0,8.0,5.7,43.7,Santiago,0.0,equipo con 5+ años de experiencia. operando en el mercado. expansión a Santiago en próximos meses,2019-aprox,activo,1
 Agrotech,153300.0,0.0,1.0,3.2,56.7,Trujillo,1.0,apoyo de inversores reconocidos,2022.0,prototipo,0
HealthTech,189700.0,5.0,22.0,4.5,48.2,piura,0.0,operando en el mercado. tracción probada: piloto pagado en Piura. enfocado en HealthTech con enfoque SaaS,2015.0,activo,1
SaaS,418400.0,1.0,11.0,3.4,33.0,Piura,0.0,operando en el mercado. cofundadores con 3+ años de experiencia en SaaS. MVP listo y primeros beta testers,2008.0,activo,1
Saas ,515200.0,2.0,22.0,9.8,52.4,Cusco,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 9+ años de experiencia. operando en el mercado. cofundadores con 9+ años de experiencia en SaaS. expansión a Lima en próximos meses. sin modelo de ingresos definido,2007.0,Activo,1
E-commerce,200300.0,1.0,27.0,3.5,52.7,Arequipa,0.0,operando en el mercado. cofundadores con 3+ años de experiencia en E-commerce. MVP listo y primeros beta testers,2009-aprox,activo,0
 E-Commerce ,163500.0,5.0,36.0,4.7,126.0,CDMX,0.0,operando en el mercado. acuerdos B2B con 15 empresas y pipeline sólido. enfocado en E-commerce con enfoque API-first,,activo,1
HealthTech,234300.0,2.0,27.0,5.8,49.5,Trujillo,0.0,equipo con 5+ años de experiencia. MRR de $8291 con 125 clientes activos. MVP listo y primeros beta testers,2018.0,prototipo,0
Fintech,73000.0,0.0,25.0,7.4,34.4,Quito,1.0,apoyo de inversores reconocidos. equipo con 7+ años de experiencia. operando en el mercado,2014.0,activo,1
